year,value,country,country_name,ma3
1984,0.649473534967957,DEU,Germany,0.45997875779177333
1985,0.747507714010368,DEU,Germany,0.5925034334395156
1986,0.894933387562053,DEU,Germany,0.7639715455134594
1987,0.634037482790339,DEU,Germany,0.7588261947875866
1988,0.850419274663443,DEU,Germany,0.7931300483386118
1989,0.949801417606952,DEU,Germany,0.8114193916869114
1990,1.35178306771323,DEU,Germany,1.0506679199945417
1991,1.24194868206275,DEU,Germany,1.1811777224609774
1992,0.891626074487105,DEU,Germany,1.1617859414210283
1993,0.848580107021474,DEU,Germany,0.994051621190443
1994,0.896324462229022,DEU,Germany,0.8788435479125337
1995,1.53560728776663,DEU,Germany,1.093503952339042
1996,2.41640084539107,DEU,Germany,1.6161108651289073
1997,2.23221631278367,DEU,Germany,2.061408148647123
1998,4.31563025645057,DEU,Germany,2.9880824715417695
1999,6.29674873795271,DEU,Germany,4.281531769062316
2000,4.99100476710523,DEU,Germany,5.201127920502836
2001,3.57214950500352,DEU,Germany,4.953301003353819
2002,0.818261180863055,DEU,Germany,3.1271384843239356
2003,1.55050298297837,DEU,Germany,1.9803045562816484
2004,0.317975728923654,DEU,Germany,0.8955799642550263
2005,3.07339288372738,DEU,Germany,1.6472905318764681
2006,4.85752917525052,DEU,Germany,2.7496325959671846
2007,4.03706163569944,DEU,Germany,3.98932789822578
2008,2.57404356393723,DEU,Germany,3.8228781249623967
2009,2.8672281295853,DEU,Germany,3.15944444307399
2010,4.22956614760212,DEU,Germany,3.223612613708216
2011,2.82218944381668,DEU,Germany,3.3063279070013665
2012,2.75497631091479,DEU,Germany,3.268910634111196
2013,2.45055772926148,DEU,Germany,2.6759078279976496
2014,2.66057441329734,DEU,Germany,2.6220361511578694
2015,3.48197757364295,DEU,Germany,2.8643699054005896
2016,3.29549304666123,DEU,Germany,3.146015011200506
2017,3.95682663087031,DEU,Germany,3.5780990837248297
2018,5.2504384693398,DEU,Germany,4.167586048957113
2019,4.32698484050812,DEU,Germany,4.511416646906077
2020,3.67563082359577,DEU,Germany,4.4176847111478965
2021,4.92980809254238,DEU,Germany,4.31080791888209
2022,3.59242335410766,DEU,Germany,4.065954090081935
2023,2.26453788303299,DEU,Germany,3.5955897765610096
2024,1.71085912204498,DEU,Germany,2.5226067863952095
1982,0.391807790362873,JPN,Japan,0.391807790362873
1983,0.284217004871058,JPN,Japan,0.3380123976169655
1984,0.44322272304385,JPN,Japan,0.3730825060925937
1985,0.451298449766016,JPN,Japan,0.39291272589364135
1986,0.679333747628527,JPN,Japan,0.5246183068127976
1987,0.778864249419751,JPN,Japan,0.6364988156047646
1988,1.13369061926649,JPN,Japan,0.8639628721049227
