date,usdjpy,eq_price,fx_ret,eq_ret,eq_ret_local,jpy_2y,jpy_10y,us_2y,jpy_2y_change,jpy_10y_change,us_2y_change,vix,diff_compression,yen_vol,jgb_pressure,fragility_pca,fragility_equal,fragility_no_vix,fragility_japan_only,boj_event,boj_shock,boj_tightening_shock,boj_easing_shock,major_tightening_event
2019-08-13,105.16,53.66,-0.0190204470378319,1.1244496287884154,1.1434700758262473,-0.291,-0.237,1.66,-1.799999999999996,-1.6999999999999988,7.999999999999985,17.52,-9.799999999999965,0.5547269423833668,1.11,-0.183091313724571,-0.473668080833193,-0.5856012550891095,-0.0014072641529642577,0,0.0,0.0,-0.0,0
2019-08-14,105.9,52.36,-0.7012252745679959,-2.4524903955778665,-1.7512651210098706,-0.277,-0.221,1.58,1.3999999999999957,1.5999999999999988,-7.999999999999985,22.1,9.399999999999963,0.5773156680225903,1.165,0.4196325724277242,0.5870836321251647,0.6214971224241862,0.08144552603717885,0,0.0,0.0,-0.0,0
2019-08-15,106.16,52.86,-0.2452137416591782,0.9503968134443763,1.1956105551035545,-0.282,-0.238,1.48,-0.4999999999999949,-1.6999999999999988,-10.000000000000009,21.18,9.50000000000002,0.5766145222905078,1.2,0.4008634100140902,0.571142747064438,0.6418710501852888,0.1030074865534118,0,0.0,0.0,-0.0,0
2019-08-16,106.33,53.41,-0.16000756390424087,1.0351085175535957,1.1951160814578365,-0.279,-0.236,1.48,0.2999999999999947,0.20000000000000018,0.0,18.47,0.30000000000001137,0.5790211025304768,1.2100000000000002,0.15276972832998606,0.07099932976854816,0.09763606870237758,0.11455667786728665,0,0.0,0.0,-0.0,0
2019-08-19,106.58,53.4,-0.2348411205641554,-0.0187248385529859,0.2161162820111695,-0.285,-0.231,1.53,-0.599999999999995,0.49999999999999767,5.000000000000004,16.88,-5.600000000000005,0.5802482584634432,1.2349999999999999,0.015662115514116445,-0.23894113048748994,-0.24367307236122385,0.13352990267141002,0,0.0,0.0,-0.0,0
2019-08-20,106.35,53.29,0.21603352223902306,-0.20620496574581537,-0.42223848798483843,-0.295,-0.236,1.5,-1.0000000000000009,-0.49999999999999767,-3.0000000000000027,17.5,2.0000000000000018,0.5777008957547843,1.2099999999999997,0.12252724274411395,0.11320762950378606,0.1978046581393714,0.11182773289071193,0,0.0,0.0,-0.0,0
2019-08-21,106.48,53.47,-0.1221632440610243,0.33720526519491756,0.45936850925594186,-0.305,-0.241,1.56,-1.0000000000000009,-0.5000000000000004,6.000000000000005,15.8,-7.000000000000006,0.5794963667912485,1.2349999999999999,-0.06059400966475143,-0.33936187805461976,-0.32869923237525533,0.1319756984061822,0,0.0,0.0,-0.0,0
2019-08-22,106.59,53.39,-0.1032524614188901,-0.14972864485454096,-0.04647618343565085,-0.313,-0.241,1.61,-0.8000000000000007,0.0,5.000000000000004,16.68,-5.800000000000005,0.5805961199870312,1.2099999999999997,-0.016901109600915294,-0.26258609304588626,-0.26615002798066434,0.11781233149308057,0,0.0,0.0,-0.0,0
2019-08-23,106.45,52.79,0.1314307361556466,-1.130168367657003,-1.2615991038126495,-0.301,-0.235,1.51,1.200000000000001,0.6000000000000005,-10.000000000000009,19.87,11.20000000000001,0.5623195395298093,1.2399999999999998,0.3498588620084521,0.6015522138155431,0.741692286222755,0.09975751147754576,0,0.0,0.0,-0.0,0
2019-08-26,105.86,53.56,0.5557924909647127,1.4480741987446866,0.8922817077799738,-0.323,-0.276,1.54,-2.200000000000002,-4.100000000000003,3.0000000000000027,19.32,-5.200000000000005,0.570958103150578,1.42,0.2722362193990215,-0.08692501825686602,-0.15139078844646525,0.23595760404188523,0,0.0,0.0,-0.0,0
